N,opt_ticks,zephyr_ticks,delta_abs,delta_rel_pct,platform,kernel
4,3288.0,824.0,-2464.0,-299.02912621359224,max32690,conv2d_small
16,4091.0,1592.0,-2499.0,-156.97236180904522,max32690,conv2d_small
64,7307.0,4664.0,-2643.0,-56.66809605488851,max32690,conv2d_small
256,20188.0,16952.0,-3236.0,-19.089193015573382,max32690,conv2d_small
1024,71669.0,66130.0,-5539.0,-8.375926205957962,max32690,conv2d_small
4,1726.0,121.0,-1605.0,-1326.4462809917354,max32690,dot_product
16,1776.0,171.0,-1605.0,-938.5964912280702,max32690,dot_product
64,1980.0,375.0,-1605.0,-428.0,max32690,dot_product
256,2796.0,1191.0,-1605.0,-134.76070528967256,max32690,dot_product
1024,6060.0,4456.0,-1604.0,-35.99640933572711,max32690,dot_product
4,2659.0,526.0,-2133.0,-405.51330798479086,max32690,mat_mul
16,3600.0,1467.0,-2133.0,-145.39877300613497,max32690,mat_mul
64,8048.0,5928.0,-2120.0,-35.76248313090418,max32690,mat_mul
256,32629.0,30496.0,-2133.0,-6.994359916054564,max32690,mat_mul
1024,187546.0,185411.0,-2135.0,-1.1514958659410715,max32690,mat_mul
4,1892.0,334.0,-1558.0,-466.4670658682635,max32690,rmsnorm
16,2027.0,468.0,-1559.0,-333.11965811965814,max32690,rmsnorm
64,2567.0,1009.0,-1558.0,-154.41030723488603,max32690,rmsnorm
256,4727.0,3181.0,-1546.0,-48.60106884627476,max32690,rmsnorm
1024,13381.0,11809.0,-1572.0,-13.311880768905072,max32690,rmsnorm
4,3804.0,2285.0,-1519.0,-66.47702407002188,max32690,softmax
16,9780.0,8189.0,-1591.0,-19.42850164855294,max32690,softmax
64,33713.0,31833.0,-1880.0,-5.905821003361292,max32690,softmax
256,129380.0,126333.0,-3047.0,-2.411879714722202,max32690,softmax
1024,512020.0,504368.0,-7652.0,-1.517146210703296,max32690,softmax
4,1237.0,73.0,-1164.0,-1594.5205479452054,max32690,vec_abs
16,1336.0,187.0,-1149.0,-614.4385026737968,max32690,vec_abs
64,1733.0,569.0,-1164.0,-204.56942003514936,max32690,vec_abs
256,3318.0,2154.0,-1164.0,-54.038997214484674,max32690,vec_abs
1024,9661.0,8510.0,-1151.0,-13.52526439482961,max32690,vec_abs
4,1678.0,74.0,-1604.0,-2167.5675675675675,max32690,vec_add
16,1723.0,119.0,-1604.0,-1347.8991596638655,max32690,vec_add
64,1903.0,299.0,-1604.0,-536.4548494983278,max32690,vec_add
256,2623.0,1018.0,-1605.0,-157.66208251473478,max32690,vec_add
1024,5503.0,3898.0,-1605.0,-41.17496151872756,max32690,vec_add
